"period","searchVolume"
"2022-04-11","2800"
"2022-04-12","2700"
"2022-04-13","2480"
"2022-04-14","2190"
"2022-04-15","2670"
"2022-04-16","3100"
"2022-04-17","3370"
"2022-04-18","2530"
"2022-04-19","2880"
"2022-04-20","2840"
"2022-04-21","3090"
"2022-04-22","3030"
"2022-04-23","3400"
"2022-04-24","3860"
"2022-04-25","3000"
"2022-04-26","3380"
"2022-04-27","3290"
"2022-04-28","3100"
"2022-04-29","2540"
"2022-04-30","3040"
"2022-05-01","3160"
"2022-05-02","2600"
"2022-05-03","2890"
"2022-05-04","2580"
"2022-05-05","3480"
"2022-05-06","2960"
"2022-05-07","3320"
"2022-05-08","3250"
"2022-05-09","2830"
"2022-05-10","2850"
"2022-05-11","3120"
"2022-05-12","3140"
"2022-05-13","2820"
"2022-05-14","3390"
"2022-05-15","3410"
"2022-05-16","2980"
"2022-05-17","3250"
"2022-05-18","3160"
"2022-05-19","3220"
"2022-05-20","3170"
"2022-05-21","3880"
"2022-05-22","4060"
"2022-05-23","3530"
"2022-05-24","3830"
"2022-05-25","3690"
"2022-05-26","3560"
"2022-05-27","3460"
"2022-05-28","4440"
"2022-05-29","4720"
"2022-05-30","3650"
"2022-05-31","3880"
"2022-06-01","5150"
"2022-06-02","4120"
"2022-06-03","4090"
"2022-06-04","4720"
"2022-06-05","4990"
"2022-06-06","4490"
"2022-06-07","3260"
"2022-06-08","3650"
"2022-06-09","3810"
"2022-06-10","3590"
"2022-06-11","4440"
"2022-06-12","4790"
"2022-06-13","3500"
"2022-06-14","3470"
"2022-06-15","3270"
"2022-06-16","3370"
"2022-06-17","3630"
"2022-06-18","3940"
"2022-06-19","4160"
"2022-06-20","3710"
"2022-06-21","3900"
"2022-06-22","3860"
"2022-06-23","3510"
"2022-06-24","3200"
"2022-06-25","3990"
"2022-06-26","3850"
"2022-06-27","3310"
"2022-06-28","3410"
"2022-06-29","3660"
"2022-06-30","3390"
"2022-07-01","3480"
"2022-07-02","4670"
"2022-07-03","4840"
"2022-07-04","3870"
"2022-07-05","3960"
"2022-07-06","4010"
"2022-07-07","3760"
"2022-07-08","3670"
"2022-07-09","4220"
"2022-07-10","4210"
"2022-07-11","3210"
"2022-07-12","3620"
"2022-07-13","3300"
"2022-07-14","3120"
"2022-07-15","3060"
"2022-07-16","3580"
"2022-07-17","3910"
"2022-07-18","3240"
"2022-07-19","3160"
"2022-07-20","3350"
"2022-07-21","2900"
"2022-07-22","3040"
"2022-07-23","3670"
"2022-07-24","3700"
"2022-07-25","3200"
"2022-07-26","3230"
"2022-07-27","3190"
"2022-07-28","2840"
"2022-07-29","2850"
"2022-07-30","3110"
"2022-07-31","3260"
"2022-08-01","2710"
"2022-08-02","2950"
"2022-08-03","2830"
"2022-08-04","2920"
"2022-08-05","2690"
"2022-08-06","3290"
"2022-08-07","3310"
"2022-08-08","2550"
"2022-08-09","2500"
"2022-08-10","2680"
"2022-08-11","2620"
"2022-08-12","2440"
"2022-08-13","2680"
"2022-08-14","2480"
"2022-08-15","2470"
"2022-08-16","2240"
"2022-08-17","2210"
"2022-08-18","1980"
"2022-08-19","2180"
"2022-08-20","2220"
"2022-08-21","2280"
"2022-08-22","2020"
"2022-08-23","2030"
"2022-08-24","1950"
"2022-08-25","1980"
"2022-08-26","1880"
"2022-08-27","2230"
"2022-08-28","2380"
"2022-08-29","2090"
"2022-08-30","2190"
"2022-08-31","2080"
"2022-09-01","1840"
"2022-09-02","1820"
"2022-09-03","2050"
"2022-09-04","2110"
"2022-09-05","1810"
"2022-09-06","1660"
"2022-09-07","1720"
"2022-09-08","1430"
"2022-09-09","1400"
"2022-09-10","1400"
"2022-09-11","1810"
"2022-09-12","2260"
"2022-09-13","1790"
"2022-09-14","2000"
"2022-09-15","1890"
"2022-09-16","1890"
"2022-09-17","2160"
"2022-09-18","2240"
"2022-09-19","1860"
"2022-09-20","1840"
"2022-09-21","1780"
"2022-09-22","1850"
"2022-09-23","2050"
"2022-09-24","2300"
"2022-09-25","2260"
"2022-09-26","1980"
"2022-09-27","2020"
"2022-09-28","1930"
"2022-09-29","2090"
"2022-09-30","1890"
"2022-10-01","2110"
"2022-10-02","2540"
"2022-10-03","2330"
"2022-10-04","1750"
"2022-10-05","1650"
"2022-10-06","1680"
"2022-10-07","1420"
"2022-10-08","1710"
"2022-10-09","2020"
"2022-10-10","1790"
"2022-10-11","1300"
"2022-10-12","1410"
"2022-10-13","1340"
"2022-10-14","1430"
"2022-10-15","1900"
"2022-10-16","1750"
"2022-10-17","1320"
"2022-10-18","1470"
"2022-10-19","1350"
"2022-10-20","1340"
